,Name,AUM,Avg Volume,mdd,std,cagr,sharpe,mean_dd,VaR99,VaR90,max_dd,SPY,AGG,BND,GLD,LQD,BSV,MBB,IGSB,SHY,SHV
AGG,iShares Core U.S. Aggregate Bond ETF,84503400,6248876,-0.12835350515452162,0.05171099713200028,0.04037020704524008,0.7806890078369387,-0.04028007323450803,-0.12835350515452162,-0.0957916893295084,-0.12835350515452162,-3.214943490207312e-06,,8.10320403504337e-06,6.875230225496782e-06,1.1372000781714271e-05,2.7813361873974673e-06,4.42789489619599e-06,4.0333957125865135e-06,1.2639536724417774e-06,1.4445207324874811e-08
BND,Vanguard Total Bond Market ETF,70431000,5673531,-0.09313136927191805,0.04918128055414631,0.04068809734110923,0.8273086199191889,-0.03706018606278869,-0.09313136927191805,-0.08674404143290365,-0.09313136927191805,-3.208009277034375e-06,8.10320403504337e-06,,6.651428559040592e-06,1.0986933627130722e-05,2.5737024622797147e-06,4.905037969134366e-06,3.633568980791667e-06,1.3526561353215123e-06,2.8536236228865302e-08
BSV,Vanguard Short-Term Bond ETF,31718200,2528744,-0.07019267379566477,0.030716669848542492,0.027933752100180564,0.9094004082446464,-0.019095196855066495,-0.07019267379566477,-0.0465401170833366,-0.07019267379566477,-5.336311833783883e-06,2.7813361873974673e-06,2.5737024622797147e-06,2.7714974027791705e-06,3.3890969825438673e-06,,2.1663220929679422e-06,1.6562614900860465e-06,8.220381520229176e-07,1.1529354024979532e-07
GLD,SPDR Gold Trust,58283600,9803423,-0.4555501173420517,0.18118457425781206,0.0636959688915566,0.35155293519039876,-0.15691976461289076,-0.3321813150641729,-0.272122269428685,-0.3321813150641729,4.550345726915936e-06,6.875230225496782e-06,6.651428559040592e-06,,7.675374318449922e-06,2.7714974027791705e-06,4.228495630918324e-06,4.303086391484041e-06,1.6420456320789418e-06,1.433743812402217e-07
IGSB,iShares Short-Term Corporate Bond ETF,23019100,2808460,-0.1337615369469735,0.04441723442720788,0.029137613199048396,0.6559979155568516,-0.02688148004327259,-0.1337615369469735,-0.11467110454921699,-0.1337615369469735,4.757627874451935e-06,4.0333957125865135e-06,3.633568980791667e-06,4.303086391484041e-06,8.156595884280918e-06,1.6562614900860465e-06,1.886861811602429e-06,,3.059348118234935e-07,-3.3326389989269835e-08
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,44387400,15206887,-0.21762123545659573,0.08984447705414636,0.05475365072246685,0.6094270067315167,-0.07316759334285582,-0.21762123545659573,-0.21537715683596895,-0.21762123545659573,1.1351204987745449e-05,1.1372000781714271e-05,1.0986933627130722e-05,7.675374318449922e-06,,3.3890969825438673e-06,6.3442028258187486e-06,8.156595884280918e-06,1.097315364809885e-06,-8.784775405281604e-08
MBB,iShares MBS Bond ETF,26458300,1698403,-0.04923947663166078,0.035151243939670875,0.03549403349288838,1.0097518470130338,-0.02461803345326262,-0.04774006828048949,-0.04316217718855065,-0.04923947663166078,-2.379578109676838e-06,4.42789489619599e-06,4.905037969134366e-06,4.228495630918324e-06,6.3442028258187486e-06,2.1663220929679422e-06,,1.886861811602429e-06,9.564640705348754e-07,6.21438506619288e-08
SHV,iShares Short Treasury Bond ETF,15971600,2037600,-0.003620477999999899,0.0036219071982771774,0.009125797399628599,2.519611050213943,-0.0009934983148448733,-0.003620477999999899,-0.0022376957208757784,-0.003620477999999899,-7.247924587579502e-07,1.4445207324874811e-08,2.8536236228865302e-08,1.433743812402217e-07,-8.784775405281604e-08,1.1529354024979532e-07,6.21438506619288e-08,-3.3326389989269835e-08,6.991441570656639e-08,
SHY,iShares 1-3 Year Treasury Bond ETF,19721800,2902537,-0.02231407850452614,0.013340761961535426,0.018990412906844556,1.423487875849851,-0.00779175414631504,-0.02231407850452614,-0.01192427641584345,-0.02231407850452614,-4.23524077725425e-06,1.2639536724417774e-06,1.3526561353215123e-06,1.6420456320789418e-06,1.097315364809885e-06,8.220381520229176e-07,9.564640705348754e-07,3.059348118234935e-07,,6.991441570656639e-08
SPY,SPDR S&P 500 ETF,339866000,78982875,-0.551894402490218,0.20709579931274946,0.09483736416211519,0.45793958388742995,-0.16259941362598185,-0.5148146454029934,-0.3371725785434913,-0.5148146454029934,,-3.214943490207312e-06,-3.208009277034375e-06,4.550345726915936e-06,1.1351204987745449e-05,-5.336311833783883e-06,-2.379578109676838e-06,4.757627874451935e-06,-4.23524077725425e-06,-7.247924587579502e-07
